name,price,discount_rate,product_description,image_name
Bộ đồ chơi xếp hình cao cấp xe cảnh sát CGBX4116,84000,0,"Thương hiệu: BBT Global
KT hộp: 20*16*5cm, Với 98 chi tiết nhỏ để bé thỏa sức sáng tạo, rèn luyện tư duy
Độ tuổi sử dụng: 6+
Xếp hình thông minh COGO được làm từ nhựa nguyên sinh nhập khẩu từ Hàn Quốc, sản xuất trên dây truyền công nghệ hiện đại của Châu Âu
Đồ chơi chất lượng cao được sản xuất theo Tiêu chuẩn Châu Âu,có chứng nhận của Tổng cục TCĐL Chất lượng, NK và PP bởi cty BBT Việt Nam, số 1 về đồ chơi trẻ em, đồ chơi cho bé an toàn, thiết bị giáo dục và thiết bị khu vui chơi
",cgbx4116-do-choi-xep-hinh-cho-be-medium.jpg
Bộ đồ chơi xếp hình cao cấp đàn piano cho bé CGBX4524,95000,0,"Thương hiệu: BBT Global
Tuổi: 6+ gồm 98 chi tiết, KT hộp đựng: 20×16×4.5CM, có thể xếp thành 1 phòng riêng cho bé với đàn piano, giường ngủ và tủ góc búp bê như hình minh họa
Xếp hình thông minh được làm từ nhựa nguyên sinh nhập khẩu từ Hàn Quốc, sản xuất trên dây truyền công nghệ hiện đại của Châu Âu
Đồ chơi chất lượng cao được sản xuất theo Tiêu chuẩn Châu Âu,có chứng nhận của Tổng cục TCĐL Chất lượng, NK và PP bởi cty BBT Việt Nam, số 1 về đồ chơi trẻ em, đồ chơi cho bé an toàn,
",cgbx4524-do-choi-xep-hinh-cho-be-medium.jpg
Bộ đồ chơi xếp hình cao cấp đi dã ngoại CGBX4120,158000,0,"Thương hiệu: BBT Global
KT hộp: 26*21*6cm. Với 154 chi tiết nhỏ để bé thỏa sức sáng tạo, rèn luyện tư duy
Độ tuổi sử dụng: 6+
Xếp hình thông minh COGO được làm từ nhựa nguyên sinh nhập khẩu từ Hàn Quốc, sản xuất trên dây truyền công nghệ hiện đại của Châu Âu
Đồ chơi chất lượng cao được sản xuất theo Tiêu chuẩn Châu Âu,có chứng nhận của Tổng cục TCĐL Chất lượng, NK và PP bởi cty BBT Việt Nam, số 1 về đồ chơi trẻ em, đồ chơi cho bé an toàn, thiết bị giáo dục và thiết bị khu vui chơi
",cgbx4120-do-choi-xep-hinh-cho-be-medium.jpg
Đồ chơi xếp hình bệnh viện và xe cấp cứu 5173,410000,0,"Thương hiệu: BBTGlobal
Độ tuổi sử dụng: 1+, gồm 56 viên gạch lớn cho bé thỏa thích xếp
Xếp hình thông minh cho bé 5173 được làm từ nhựa nguyên sinh nhập khẩu từ Hàn Quốc, sản xuất trên dây truyền công nghệ hiện đại của Châu Âu
Đồ chơi chất lượng cao được sản xuất theo Tiêu chuẩn Châu Âu,có chứng nhận của Tổng cục TCĐL Chất lượng, NK và PP bởi cty BBT Việt Nam, số 1 về đồ chơi trẻ em, đồ chơi cho bé an toàn, thiết bị giáo dục và thiết bị khu vui chơi giải trí, website:babycuatoi.vn
",5173-do-choi-xep-hinh-cho-be-medium.jpg
Xếp hình thông minh cứu hỏa chữa cháy BBT Global 5162,410000,0,"Thương hiệu: BBT Global
Số gạch xếp: 33 viên
Xếp hình thông minh BBT Global được làm từ nhựa nguyên sinh nhập khẩu từ Hàn Quốc
Đồ chơi chất lượng cao được sản xuất theo Tiêu chuẩn Châu Âu,có chứng nhận của Tổng cục TCĐL Chất lượng, NK và PP bởi cty BBT Việt Nam, số 1 về đồ chơi trẻ em, đồ chơi cho bé an toàn, thiết bị giáo dục và thiết bị khu vui chơi giải trí, website:babycuatoi.vn- thietbivuichoi.vn
",xep-hinh-thong-minh-5162-medium.png
Đồ chơi xếp hình thông minh cho bé gái 5238,473000,0,"Thương hiệu: BBTGlobal
tuổi sử dụng: 3+ gồm 92 viên gạch cho bé thỏa sức xếp hình
Xếp hình thông minh cho bé 5238 được làm từ nhựa nguyên sinh nhập khẩu từ Hàn Quốc, sản xuất trên dây truyền công nghệ hiện đại của Châu Âu
Đồ chơi chất lượng cao được sản xuất theo Tiêu chuẩn Châu Âu,có chứng nhận của Tổng cục TCĐL Chất lượng, NK và PP bởi cty BBT Việt Nam, số 1 về đồ chơi trẻ em, đồ chơi cho bé an toàn, thiết bị giáo dục và thiết bị khu vui chơi giải trí, website:babycuatoi.vn
",5238-do-choi-xep-hinh-cho-be-medium.jpg
Bộ đồ chơi xếp hình xe cứu thương CGBX4124,200000,0,"Thương hiệu: BBT Global
KT hộp: 34*25*7cm Với 283 chi tiết nhỏ để bé thỏa sức sáng tạo, rèn luyện tư duy
Độ tuổi sử dụng: 6+
Xếp hình thông minh BBT Global được làm từ nhựa nguyên sinh nhập khẩu từ Hàn Quốc, sản xuất trên dây truyền công nghệ hiện đại của Châu Âu
Đồ chơi chất lượng cao được sản xuất theo Tiêu chuẩn Châu Âu,có chứng nhận của Tổng cục TCĐL Chất lượng, NK và PP bởi cty BBT Việt Nam, số 1 về đồ chơi trẻ em, đồ chơi cho bé an toàn, thiết bị giáo dục và thiết bị khu vui
",cgbx4124-do-choi-xep-hinh-cho-be-medium.jpg
Đồ chơi xếp hình thông minh thị trấn vui nhộn 889-907,629000,20,"Thương hiệu: BBT GLOBAL
Dùng cho bé: 2 tuổi trở lên
Kích thước: 116,8*84*21,9cm, gồm 121 chi tiết cho bé lắp ghép mô hình thị trấn vui nhộn, kích thích trí tưởng tượng cho bé
Đồ chơi chất lượng cao được sản xuất theo Tiêu chuẩn Châu Âu,có chứng nhận của Tổng cục TCĐL Chất lượng, NK và PP bởi cty BBT Việt Nam, số 1 về đồ chơi trẻ em, đồ chơi cho bé an toàn, thiết bị giáo dục và thiết bị khu vui chơi giải trí, website:babycuatoi.vn
",889-907-mo-hinh-thi-tran-vui-nhon-medium.jpg
Đồ chơi xếp hình xe ô tô cho bé trai 336 chi tiết 5105,199000,0,"Thương hiệu: BBT Global
Kích thước: 16,5 x 5 x 19,5cm
Bao gồm: Các mảnh ghép và tờ hướng dẫn lắp ráp
Dành cho bé 5
Chất liệu: nhựa nguyên sinh an toàn cho bé
Sản phẩm chất lượng cao được sản xuất theo tiêu chuẩn xuất khẩu Châu Âu
Đạt tiêu chuẩn: CE, CR, CQđảm bảo an toàn cho bé
",5105-medium.png
Đồ chơi máy gắp thú bông loại lớn 5373,710000,20,"Thương hiệu: BBT Global
Dùng cho bé: 2 tuổi trở lên
Kích thước: 27*21*36cm, mô phỏng chiếc máy gắp thú bông như khu vui chơi, bộ gồm có 4 thú bông và 4 hộp đựng kẹo, bé có thể cho kẹo vào hộp và gắp để thưởng cho mình, có xu và sạc, có nhạc và đèn phát sáng vui nhộn
Đồ chơi gắp thú bông chất lượng cao được sản xuất theo Tiêu chuẩn Châu Âu,có chứng nhận của Tổng cục TCĐL Chất lượng, NK và PP bởi cty BBT Việt Nam, số 1 về đồ chơi trẻ em, đồ chơi cho bé an toàn, thiết bị giáo dục và thiết
",5373-d-do-choi-may-gap-thu-bong-loai-lon-2-medium.jpg
